Accident_ID,Time_of_Day,Number_of_Accidents,Severity,Cause
1,6,3,Minor,Speeding
2,7,5,Major,Drunk Driving
3,4,7,Minor,Distracted Drving
4,3,4,Fatal,Speeding
5,6,6,Major,Poor Road Conditions
6,8,3,Minor,Speeding
7,9,8,Major,Drunk Driving
8,4,5,Minor,Poor Road Conditions
9,5,4,Fatal,Speeding
10,9,6,Major,Drunk Driving
11,8,7,Minor,Distracted Driving
12,8,9,Major,Speeding
13,9,12,Fatal,Poor Road Conditions
14,11,10,Major,Speeding
15,5,8,Minor,Drunk Driving
16,6,6,Minor,Distracted Driving
17,7,5,Major,Speeding
18,8,4,Fatal,Poor Road Conditions
19,9,3,Minor,Speeding
20,10,2,Major,Drunk Driving
21,7,2,Minor,Distracted Driving
22,5,3,Minor,Speeding
23,7,4,Major,Poor Road Conditions
24,8,3,Fatal,Speeding
25,9,5,Major,Drunk Driving
26,2,7,Minor,Distracted Driving
27,3,6,Major,Speeding
28,8,4,Major,Poor Road Conditions
29,3,5,Fatal,Speeding
30,10,4,Major,Drunk Driving
31,5,7,Major,Distracted Driving
32,4,6,Minor,Speeding
33,6,5,Minor,Poor Road Condtions
34,8,8,Fatal,Speeding
35,9,9,Major,Drunk Driving
36,12,11,Major,Distracted Driving
37,6,13,Fatal,Speeding
38,9,9,Major,Poor Road Conditions
39,10,7,Minor,Speeding
40,11,6,Major,Poor Road Conditions
